#Energy(eV)    Elastic_MFP(A)
   1.0000000000000000E-03   7.3708095630052601E+04
   1.0999999999999999E-02   6.7798800531329562E+03
   2.1000000000000001E-02   3.5741358273053193E+03
   3.1000000000000007E-02   2.4332332569593441E+03
   4.1000000000000002E-02   1.8475053585115240E+03
   5.1000000000000004E-02   1.4907651828769128E+03
   6.0999999999999999E-02   1.2505645792263056E+03
   7.0999999999999994E-02   1.0777485491532759E+03
   8.0999999999999989E-02   9.4740993344312017E+02
   9.0999999999999998E-02   8.4557631975692675E+02
   1.0100000000000001E-01   7.6380137632367087E+02
   2.0099999999999998E-01   3.9177265463353484E+02
   3.0099999999999999E-01   2.6576560201793029E+02
   4.0099999999999997E-01   2.0215048838815792E+02
   5.0100000000000000E-01   1.6369935700151242E+02
   6.0099999999999998E-01   1.3790779667074054E+02
   7.0099999999999996E-01   1.1938684622789164E+02
   8.0099999999999993E-01   1.0542985250962859E+02
   9.0100000000000002E-01   9.4527312927569398E+01
   1.0009999999999999E+00   8.5770434802473929E+01
   1.1010000000000000E+00   7.8579111794466414E+01
   1.2010000000000001E+00   7.2565511250698890E+01
   1.3009999999999999E+00   6.7460427636268207E+01
   1.4010000000000000E+00   6.3071097497851468E+01
   1.5009999999999999E+00   5.9255832315114141E+01
   1.6009999999999998E+00   5.5908131282658083E+01
   1.7009999999999998E+00   5.2946381344133208E+01
   1.8009999999999997E+00   5.0306977933644546E+01
   1.9009999999999998E+00   4.7939609898157762E+01
   2.0009999999999999E+00   4.5803953443978884E+01
   2.1010000000000000E+00   4.3867306889408411E+01
   2.2009999999999996E+00   4.2102867852611581E+01
   2.3009999999999997E+00   4.0488457978111889E+01
   2.4009999999999998E+00   3.9005565116482593E+01
   2.5009999999999999E+00   3.7638614367497709E+01
   2.6010000000000000E+00   3.6374406613560836E+01
   2.7009999999999996E+00   3.5201681219777448E+01
   2.8009999999999997E+00   3.4110772037809681E+01
   2.9009999999999998E+00   3.3093334219517480E+01
   3.0009999999999999E+00   3.2142125418495517E+01
