#Time    X  Density
#fs    A   1/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  0.0000000000000000E+00
        0.000000  1.0000000000000000E+19  0.0000000000000000E+00

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  0.0000000000000000E+00
       50.000000  1.0000000000000000E+19  1.4185000000000115E-61

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  0.0000000000000000E+00
      100.000000  1.0000000000000000E+19  1.5230000000000124E-61

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  0.0000000000000000E+00
      150.000000  1.0000000000000000E+19  1.5690000000000129E-61

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  0.0000000000000000E+00
      200.000000  1.0000000000000000E+19  1.5932000000000131E-61

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  0.0000000000000000E+00
      250.000000  1.0000000000000000E+19  1.6076000000000132E-61

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  0.0000000000000000E+00
      300.000000  1.0000000000000000E+19  1.6174750000000130E-61

