#Energy(eV)    Se(eV/A)   Range(A)
   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
   2.0000000000000000E+00   2.7588740910216045E-03   0.0000000000000000E+00
   3.0000000000000000E+00   6.7805778870308562E-03   0.0000000000000000E+00
   4.0000000000000000E+00   1.1044649666998871E-02   0.0000000000000000E+00
   5.0000000000000000E+00   1.5622989310070789E-02   0.0000000000000000E+00
   6.0000000000000000E+00   2.0559992290737562E-02   0.0000000000000000E+00
   7.0000000000000000E+00   2.5882000787396397E-02   0.0000000000000000E+00
   8.0000000000000000E+00   3.1601393850040120E-02   0.0000000000000000E+00
   8.1490000000000009E+00   3.2618113560115007E-02   0.0000000000000000E+00
   8.1509999999999998E+00   3.2615321559115396E-02   0.0000000000000000E+00
   9.0000000000000000E+00   3.7730472689256826E-02   0.0000000000000000E+00
   1.0000000000000000E+01   4.4284992715537111E-02   0.0000000000000000E+00
   1.1000000000000000E+01   5.1286033321517349E-02   0.0000000000000000E+00
   1.2000000000000000E+01   6.0301827981447023E-02   1.8040865578300799E+01
   1.3000000000000000E+01   6.8379384655234840E-02   3.3644633539760768E+01
   1.3459000000000000E+01   7.1017416612722234E-02   4.0232509898561993E+01
   1.3460999999999999E+01   7.1014518008829047E-02   4.0260672579105083E+01
   1.4000000000000000E+01   7.7008856115443822E-02   4.7555268725064380E+01
   1.5000000000000000E+01   8.6232139348961692E-02   5.9846330618902549E+01
   1.6000000000000000E+01   9.6099034704104400E-02   7.0847598674536812E+01
   1.7000000000000000E+01   1.0666586260563658E-01   8.0738099903393845E+01
   1.8000000000000000E+01   1.1799901749007148E-01   8.9662958655427062E+01
   1.9000000000000000E+01   1.3017570211956678E-01   9.7741244647360816E+01
   2.0000000000000000E+01   1.4328772088849240E-01   1.0507168976058841E+02
   2.1000000000000000E+01   1.5744137587434268E-01   1.1173695755375391E+02
   2.2000000000000000E+01   1.7548710415407201E-01   1.1776195501940776E+02
   2.3000000000000000E+01   1.9230862302417198E-01   1.2321115464701768E+02
   2.4000000000000000E+01   2.1064211890674039E-01   1.2818483637808686E+02
   2.5000000000000000E+01   2.3070034684971660E-01   1.3272584429562377E+02
   2.6000000000000000E+01   2.5274123043596319E-01   1.3687146590637801E+02
   2.7000000000000000E+01   2.7707669959116216E-01   1.4065432839551144E+02
   2.8000000000000000E+01   3.0408691730688503E-01   1.4410314960333105E+02
   2.9000000000000000E+01   3.3424409061309357E-01   1.4724332908922227E+02
   3.0000000000000000E+01   3.6813182677169809E-01   1.5009745095673566E+02
   3.1000000000000000E+01   4.0648371074099671E-01   1.5268572165568023E+02
   3.2000000000000000E+01   4.5022287859310139E-01   1.5502634431283087E+02
   3.3000000000000000E+01   5.0818819657585812E-01   1.5712079285080009E+02
   3.4000000000000000E+01   5.6763838604302108E-01   1.5898552279621489E+02
   3.5000000000000000E+01   6.3721004999626829E-01   1.6065103588183931E+02
   3.6000000000000000E+01   7.1917010063590237E-01   1.6213095230518107E+02
   3.7000000000000000E+01   8.1603708764536131E-01   1.6343891536607660E+02
   3.8000000000000000E+01   9.3018054887387669E-01   1.6458916266906650E+02
   3.9000000000000000E+01   1.0630522540794243E+00   1.6559703648774996E+02
   4.0000000000000000E+01   1.2141919805531527E+00   1.6647917674662659E+02
   4.1000000000000000E+01   1.3808395609187620E+00   1.6725307178808239E+02
   4.2000000000000000E+01   1.5691343019509221E+00   1.6793381737562814E+02
   4.3000000000000000E+01   1.7515350059299755E+00   1.6853792830732834E+02
   4.4000000000000000E+01   1.9150940855728555E+00   1.6908447597793818E+02
   4.5000000000000000E+01   2.1203974663058918E+00   1.6958136460335774E+02
