#Time    Z  Density
#fs    A   1/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  0.0000000000000000E+00
        0.000000  1.0000000000000000E+19  0.0000000000000000E+00

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  0.0000000000000000E+00
       50.000000  1.0000000000000000E+19  1.6057250000005335E-60

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  0.0000000000000000E+00
      100.000000  1.0000000000000000E+19  1.9825800000004769E-60

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  0.0000000000000000E+00
      150.000000  1.0000000000000000E+19  2.2153600000004780E-60

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  0.0000000000000000E+00
      200.000000  1.0000000000000000E+19  2.3903125000004793E-60

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  0.0000000000000000E+00
      250.000000  1.0000000000000000E+19  2.5330575000004808E-60

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  0.0000000000000000E+00
      300.000000  1.0000000000000000E+19  2.6558225000004820E-60

