#Time    Z  Density
#fs    A   1/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  0.0000000000000000E+00
        0.000000  1.0000000000000000E+19  0.0000000000000000E+00

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  2.0140000000000093E-62
       50.000000  1.0000000000000000E+19  2.8215749999998542E-61

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  2.0152500000000094E-62
      100.000000  1.0000000000000000E+19  3.0820249999997388E-61

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  2.0152500000000094E-62
      150.000000  1.0000000000000000E+19  3.1925749999996895E-61

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  2.0152500000000094E-62
      200.000000  1.0000000000000000E+19  3.2513749999996616E-61

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  2.0152500000000094E-62
      250.000000  1.0000000000000000E+19  3.2904749999996455E-61

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  2.0152500000000094E-62
      300.000000  1.0000000000000000E+19  3.3167249999996342E-61

