#Time    Z  Energy
#fs    A   eV/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  0.0000000000000000E+00
        0.000000  1.0000000000000000E+19  0.0000000000000000E+00

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  3.3612994150384744E-61
       50.000000  1.0000000000000000E+19  5.3588798950710912E-61

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  3.3619426817109849E-61
      100.000000  1.0000000000000000E+19  5.0002604508771346E-61

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  3.3619426817109849E-61
      150.000000  1.0000000000000000E+19  4.8556450802632237E-61

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  3.3619426817109849E-61
      200.000000  1.0000000000000000E+19  4.7805510096046522E-61

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  3.3619426817109849E-61
      250.000000  1.0000000000000000E+19  4.7312008624131161E-61

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  3.3619426817109849E-61
      300.000000  1.0000000000000000E+19  4.6984978463889025E-61

