#Time    Z  Energy
#fs    A   eV/A^3
        0.000000 -1.0000000000000000E+19  0.0000000000000000E+00
        0.000000  0.0000000000000000E+00  1.1492800999994548E-58
        0.000000  1.0000000000000000E+19  1.1507198999994529E-58

       50.000000 -1.0000000000000000E+19  0.0000000000000000E+00
       50.000000  0.0000000000000000E+00  0.0000000000000000E+00
       50.000000  1.0000000000000000E+19  2.2801003999981514E-58

      100.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      100.000000  0.0000000000000000E+00  0.0000000000000000E+00
      100.000000  1.0000000000000000E+19  2.2801003999981514E-58

      150.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      150.000000  0.0000000000000000E+00  0.0000000000000000E+00
      150.000000  1.0000000000000000E+19  2.2801003999981514E-58

      200.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      200.000000  0.0000000000000000E+00  0.0000000000000000E+00
      200.000000  1.0000000000000000E+19  2.2801003999981514E-58

      250.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      250.000000  0.0000000000000000E+00  0.0000000000000000E+00
      250.000000  1.0000000000000000E+19  2.2801003999981514E-58

      300.000000 -1.0000000000000000E+19  0.0000000000000000E+00
      300.000000  0.0000000000000000E+00  0.0000000000000000E+00
      300.000000  1.0000000000000000E+19  2.2801003999981514E-58

